node_id,product,kind,text_en,text_hi_latn,next,plays_disclosure,requires_disclosure,never_say,disposition,faq_scope,intent_set,max_visits,on_max_visits,escalate
N45_CLOSE_SILENCE,flexipay,terminal,I am unable to hear you. We will try again another time. Thank you.,Main aapko sun nahi paa rahi. Hum phir kabhi try karenge. Dhanyavaad.,,,,,NO_RESPONSE,,,,,
N01_OPENING,clip,chain,"Hello, good day.",Namaste.,N02_CONFIRM_CARDHOLDER,D01_IDENTITY|D02_RECORDED_LINE,,,,,,,,
N02_CONFIRM_CARDHOLDER,clip,normal,Am I speaking with the holder of the {brand_name} credit card?,Kya main {brand_name} credit card holder se baat kar rahi hoon?,,,,,,common,CONFIRM_IDENTITY|AGREE|NOT_INTERESTED,,,
N03_PURPOSE,clip,chain,I am calling about your card limit. It will take less than a minute.,Main aapke card ki limit ke baare mein call kar rahi hoon. Ek minute se bhi kam lagega.,N04_PITCH,,,,,,,,,
N04_PITCH,clip,normal,"Based on your card usage, your credit limit can be increased from {current_limit} rupees to {enhanced_limit} rupees.","Aapke card usage ke aadhaar par, aapki credit limit {current_limit} rupees se badhakar {enhanced_limit} rupees ho sakti hai.",,,D01_IDENTITY|D02_RECORDED_LINE,your limit has been increased|guaranteed|this will improve your credit score|unlimited,,common|clip,INTERESTED|AGREE|NOT_INTERESTED|NEED_TIME|DONT_WANT_MORE_CREDIT|IS_THIS_GENUINE|HOW_DID_YOU_GET_NUMBER,,,
N05_TERMS,clip,chain,This offer is open for {offer_valid_days} days.,Yeh offer {offer_valid_days} din tak khula hai.,N06_AGREEMENT_PROBE,D04_CLIP_TERMS,,,,,,,,
N06_AGREEMENT_PROBE,clip,normal,Shall I connect you to our advisor to complete this?,"Kya main aapko hamare advisor se connect karoon, ise complete karne ke liye?",,,D04_CLIP_TERMS,your limit is now active|no approval needed,,common|clip,AGREE|NOT_INTERESTED|NEED_TIME,,,
N07_PRE_TRANSFER,clip,chain,Thank you. Please stay on the line.,Dhanyavaad. Kripya line par bane rahiye.,N08_TRANSFER,D06_ADVISOR_HANDOFF,D04_CLIP_TERMS,,,,,,,
N08_TRANSFER,clip,transfer,,,,,,,AGREED_TRANSFERRED,,,,,
N09_TRANSFER_ESCALATED,clip,transfer,,,,,,,ESCALATED_TRANSFERRED,,,,,
N10_OBJECTION_NEED_TIME,clip,normal,"Of course. The offer stays open for {offer_valid_days} days. Would you like our advisor to explain it now, or should we call you back?","Bilkul. Yeh offer {offer_valid_days} din tak khula rahega. Kya advisor abhi samjhaayein, ya hum baad mein call karein?",,,,,,common|clip,AGREE|NOT_INTERESTED,,,
N11_OBJECTION_TRUST,clip,normal,"That is a fair question. I am not asking for any card number, PIN or OTP, and I never will. You can verify this on your {brand_name} app, or on the number printed on the back of your card. Shall I continue?","Yeh sahi sawaal hai. Main aapse koi card number, PIN ya OTP nahi maang rahi hoon, aur na kabhi maangungi. Aap ise apne {brand_name} app par ya card ke peeche likhe number par verify kar sakte hain. Kya main aage badhoon?",,,,,,common,AGREE|NOT_INTERESTED,,,
N12_HOW_GOT_NUMBER,clip,normal,"I am calling on the number registered with your {brand_name} card account. If you would prefer not to receive such calls, I can note that right away.","Main aapke {brand_name} card account par registered number par call kar rahi hoon. Agar aap aise calls nahi chahte, main abhi note kar sakti hoon.",,,,,,common,AGREE|NOT_INTERESTED,,,
N13_OBJECTION_MORE_CREDIT,clip,normal,"That is understandable. A higher limit does not change what you spend, and there is no charge for the increase itself. Would you still like to hear the details from our advisor?","Yeh samajh mein aata hai. Zyada limit se aapka kharch nahi badhta, aur limit badhane ka koi charge nahi hai. Kya aap phir bhi advisor se details sunna chahenge?",,,,,,common|clip,AGREE|NOT_INTERESTED,,,
N20_CALLBACK,clip,chain,Certainly. We will call you back at a more convenient time.,Zaroor. Hum aapko kisi convenient time par dobara call karenge.,N41_CLOSE_CALLBACK,,,,,,,,,
N30_WRONG_PERSON,clip,chain,I apologise for the inconvenience. I will update our records.,Asuvidha ke liye khed hai. Main hamare records update kar dungi.,N43_CLOSE_WRONG_PERSON,,,,,,,,,
N31_BUSY,clip,normal,I understand. May we call you back later today?,Main samajh sakti hoon. Kya hum aaj baad mein call karein?,,,,,,,AGREE|NOT_INTERESTED,,,
N50_SILENCE_REPROMPT,clip,normal,"I am sorry, I could not hear you. Are you still there?","Maaf kijiye, main aapko sun nahi paayi. Kya aap line par hain?",,,,,,,AGREE|NOT_INTERESTED,2,N45_CLOSE_SILENCE,
N90_HUMAN_HANDOFF,clip,chain,Certainly.,Zaroor.,N09_TRANSFER_ESCALATED,D06_ADVISOR_HANDOFF,,,,,,,,
N99_FALLBACK_TRANSFER,clip,chain,"That is a good question, and I would rather our advisor answer it properly for you.","Yeh accha sawaal hai, aur behtar hoga ki hamare advisor aapko iska sahi jawaab dein.",N09_TRANSFER_ESCALATED,D06_ADVISOR_HANDOFF,,,,,,,,
N40_CLOSE_NOT_INTERESTED,clip,terminal,"That is perfectly alright. Thank you for your time, and have a good day.","Koi baat nahi. Aapke time ke liye dhanyavaad, aapka din accha ho.",,,,,NOT_INTERESTED,,,,,
N41_CLOSE_CALLBACK,clip,terminal,Thank you. Have a good day.,Dhanyavaad. Aapka din accha ho.,,,,,CALLBACK_REQUESTED,,,,,
N42_CLOSE_DNC,clip,terminal,I have noted your request. You will not receive further promotional calls from us. Thank you.,Maine aapka request note kar liya hai. Aapko aage promotional calls nahi aayengi. Dhanyavaad.,,,,,DNC_REQUESTED,,,,,yes
N43_CLOSE_WRONG_PERSON,clip,terminal,"Thank you, and sorry for the disturbance.","Dhanyavaad, aur pareshaani ke liye khed hai.",,,,,WRONG_PERSON,,,,,
N44_CLOSE_ABUSIVE,clip,terminal,I am ending the call now. Thank you.,Main call ab end kar rahi hoon. Dhanyavaad.,,,,,ABUSIVE,,,,,yes
N45_CLOSE_SILENCE,clip,terminal,I am unable to hear you. We will try again another time. Thank you.,Main aapko sun nahi paa rahi. Hum phir kabhi try karenge. Dhanyavaad.,,,,,NO_RESPONSE,,,,,
N01_OPENING,multicarding,chain,"Hello, good day.",Namaste.,N02_CONFIRM_CARDHOLDER,D01_IDENTITY|D02_RECORDED_LINE,,,,,,,,
N02_CONFIRM_CARDHOLDER,multicarding,normal,Am I speaking with the holder of the {brand_name} credit card?,Kya main {brand_name} credit card holder se baat kar rahi hoon?,,,,,,common,CONFIRM_IDENTITY|AGREE|NOT_INTERESTED,,,
N03_PURPOSE,multicarding,chain,I am calling about an additional card available to you. It will take about a minute.,Main aapke liye available ek additional card ke baare mein call kar rahi hoon. Lagbhag ek minute lagega.,N04_PITCH,,,,,,,,,
N04_PITCH,multicarding,normal,"You are eligible for an additional {brand_name} card, the {offered_card_name}, which offers {headline_benefit}.","Aap ek additional {brand_name} card, {offered_card_name}, ke liye eligible hain, jismein {headline_benefit} milta hai.",,,D01_IDENTITY|D02_RECORDED_LINE,free card|lifetime free|no fees|guaranteed approval|this will not affect your credit score,,common|multicarding,INTERESTED|AGREE|NOT_INTERESTED|NEED_TIME|ALREADY_HAVE_CARD|IS_THIS_GENUINE|HOW_DID_YOU_GET_NUMBER,,,
N05_TERMS,multicarding,chain,The card is issued subject to approval.,Card approval ke adheen issue kiya jaata hai.,N06_AGREEMENT_PROBE,D05_MULTICARD_TERMS,,,,,,,,
N06_AGREEMENT_PROBE,multicarding,normal,Shall I connect you to our advisor to take this forward?,"Kya main aapko hamare advisor se connect karoon, aage badhane ke liye?",,,D05_MULTICARD_TERMS,your card is approved|the card will be dispatched|please share the OTP,,common|multicarding,AGREE|NOT_INTERESTED|NEED_TIME,,,
N07_PRE_TRANSFER,multicarding,chain,Thank you. Please stay on the line.,Dhanyavaad. Kripya line par bane rahiye.,N08_TRANSFER,D06_ADVISOR_HANDOFF,D05_MULTICARD_TERMS,,,,,,,
N08_TRANSFER,multicarding,transfer,,,,,,,AGREED_TRANSFERRED,,,,,
N09_TRANSFER_ESCALATED,multicarding,transfer,,,,,,,ESCALATED_TRANSFERRED,,,,,
N10_OBJECTION_NEED_TIME,multicarding,normal,"Of course. Would you prefer that our advisor explains the details now, or should we call you back?","Bilkul. Kya advisor abhi details samjhaayein, ya hum aapko baad mein call karein?",,,,,,common|multicarding,AGREE|NOT_INTERESTED,,,
N11_OBJECTION_TRUST,multicarding,normal,"That is a fair question. I am not asking for any card number, PIN or OTP, and I never will. You can verify this on your {brand_name} app, or on the number printed on the back of your card. Shall I continue?","Yeh sahi sawaal hai. Main aapse koi card number, PIN ya OTP nahi maang rahi hoon, aur na kabhi maangungi. Aap ise apne {brand_name} app par ya card ke peeche likhe number par verify kar sakte hain. Kya main aage badhoon?",,,,,,common,AGREE|NOT_INTERESTED,,,
N12_HOW_GOT_NUMBER,multicarding,normal,"I am calling on the number registered with your {brand_name} card account. If you would prefer not to receive such calls, I can note that right away.","Main aapke {brand_name} card account par registered number par call kar rahi hoon. Agar aap aise calls nahi chahte, main abhi note kar sakti hoon.",,,,,,common,AGREE|NOT_INTERESTED,,,
N14_OBJECTION_ALREADY_HAVE,multicarding,normal,"Many customers do hold more than one card, and each card carries its own benefits. Would you like our advisor to explain how this one differs from your existing card?","Kaafi customers ek se zyada card rakhte hain, aur har card ke apne benefits hote hain. Kya advisor samjhaayein ki yeh aapke maujooda card se kaise alag hai?",,,,,,common|multicarding,AGREE|NOT_INTERESTED,,,
N20_CALLBACK,multicarding,chain,Certainly. We will call you back at a more convenient time.,Zaroor. Hum aapko kisi convenient time par dobara call karenge.,N41_CLOSE_CALLBACK,,,,,,,,,
N30_WRONG_PERSON,multicarding,chain,I apologise for the inconvenience. I will update our records.,Asuvidha ke liye khed hai. Main hamare records update kar dungi.,N43_CLOSE_WRONG_PERSON,,,,,,,,,
N31_BUSY,multicarding,normal,I understand. May we call you back later today?,Main samajh sakti hoon. Kya hum aaj baad mein call karein?,,,,,,,AGREE|NOT_INTERESTED,,,
N50_SILENCE_REPROMPT,multicarding,normal,"I am sorry, I could not hear you. Are you still there?","Maaf kijiye, main aapko sun nahi paayi. Kya aap line par hain?",,,,,,,AGREE|NOT_INTERESTED,2,N45_CLOSE_SILENCE,
N90_HUMAN_HANDOFF,multicarding,chain,Certainly.,Zaroor.,N09_TRANSFER_ESCALATED,D06_ADVISOR_HANDOFF,,,,,,,,
N99_FALLBACK_TRANSFER,multicarding,chain,"That is a good question, and I would rather our advisor answer it properly for you.","Yeh accha sawaal hai, aur behtar hoga ki hamare advisor aapko iska sahi jawaab dein.",N09_TRANSFER_ESCALATED,D06_ADVISOR_HANDOFF,,,,,,,,
N40_CLOSE_NOT_INTERESTED,multicarding,terminal,"That is perfectly alright. Thank you for your time, and have a good day.","Koi baat nahi. Aapke time ke liye dhanyavaad, aapka din accha ho.",,,,,NOT_INTERESTED,,,,,
N41_CLOSE_CALLBACK,multicarding,terminal,Thank you. Have a good day.,Dhanyavaad. Aapka din accha ho.,,,,,CALLBACK_REQUESTED,,,,,
N42_CLOSE_DNC,multicarding,terminal,I have noted your request. You will not receive further promotional calls from us. Thank you.,Maine aapka request note kar liya hai. Aapko aage promotional calls nahi aayengi. Dhanyavaad.,,,,,DNC_REQUESTED,,,,,yes
N43_CLOSE_WRONG_PERSON,multicarding,terminal,"Thank you, and sorry for the disturbance.","Dhanyavaad, aur pareshaani ke liye khed hai.",,,,,WRONG_PERSON,,,,,
N44_CLOSE_ABUSIVE,multicarding,terminal,I am ending the call now. Thank you.,Main call ab end kar rahi hoon. Dhanyavaad.,,,,,ABUSIVE,,,,,yes
N45_CLOSE_SILENCE,multicarding,terminal,I am unable to hear you. We will try again another time. Thank you.,Main aapko sun nahi paa rahi. Hum phir kabhi try karenge. Dhanyavaad.,,,,,NO_RESPONSE,,,,,
