faq_id,scope,question_en,question_hi_latn,answer_en,answer_hi_latn,paraphrases_en,paraphrases_hi_latn
FAQ_L011,clip,How long is the offer valid?,Offer kab tak valid hai?,This offer is open for {offer_valid_days} days.,Yeh offer {offer_valid_days} din tak khula hai.,when does it expire|how many days do I have,kab tak hai yeh offer
FAQ_L012,clip,Is the increase guaranteed?,Kya limit badhna guaranteed hai?,The revised limit is subject to the terms and conditions of your card agreement. Our advisor will confirm the position for your account.,Revised limit aapke card agreement ke terms and conditions ke adheen hai. Hamare advisor aapke account ke liye sthiti confirm karenge.,will it definitely happen|can it be rejected,pakka ho jayega kya
FAQ_C001,common,Who are you?,Aap kaun hain?,"I am {agent_display_name}, an automated assistant calling on behalf of {brand_name}.","Main {agent_display_name} hoon, {brand_name} ki taraf se ek automated assistant.",which company is this|where are you calling from|what is this about,kaunsi company se hain|kahan se call kar rahe hain
FAQ_C002,common,Am I speaking to a robot?,Kya main robot se baat kar raha hoon?,"Yes, I am an automated assistant. I can connect you to a human advisor at any time - just ask.","Haan, main ek automated assistant hoon. Aap jab chahein, main aapko human advisor se connect kar sakti hoon - bas kahiye.",is this a recording|are you a real person|is this AI,yeh recording hai kya|aap asli insaan hain
FAQ_C003,common,Is this call being recorded?,Kya yeh call record ho rahi hai?,Yes. This call is recorded for quality and training purposes.,Haan. Yeh call quality aur training ke liye record ki ja rahi hai.,are you recording me|why is this recorded,aap record kar rahe hain kya
FAQ_C004,common,Do you need my card number?,Kya aapko mera card number chahiye?,"No. I will never ask for your card number, PIN, CVV or OTP. Please do not share these with anyone.","Nahi. Main kabhi aapka card number, PIN, CVV ya OTP nahi maangungi. Kripya yeh kisi ke saath share na karein.",will you ask for OTP|do you want my PIN|do you need my CVV,OTP maangenge kya|PIN chahiye kya
FAQ_C005,common,How did you get my number?,Aapko mera number kahan se mila?,I am calling on the number registered with your {brand_name} card account.,Main aapke {brand_name} card account par registered number par call kar rahi hoon.,who gave you my details|where did you get my information,meri details kisne di
FAQ_C006,common,How do I stop these calls?,Yeh calls kaise band karein?,"I can note that right now, and you will not receive further promotional calls from us.","Main abhi note kar sakti hoon, aur aapko aage promotional calls nahi aayengi.",put me on DND|remove me from your list|I don't want marketing calls,DND pe daal dijiye|list se hata dijiye
FAQ_C007,common,Is my data safe?,Kya meri details surakshit hain?,Your information is handled under {brand_name} policy. I do not hold your card details on this call. Our advisor can explain further.,Aapki information {brand_name} policy ke tahat handle hoti hai. Is call par mere paas aapke card details nahi hain. Hamare advisor aur bata sakte hain.,what do you do with my data|is this secure,meri information ka kya karte hain
FAQ_C008,common,Can I check this on the app?,Kya main yeh app par dekh sakta hoon?,"Yes. You can view offers on your {brand_name} app, or call the number printed on the back of your card.","Haan. Aap apne {brand_name} app par offers dekh sakte hain, ya card ke peeche likhe number par call kar sakte hain.",is this on my statement|can I verify online,online verify kar sakte hain kya
FAQ_C009,common,Can you call me later?,Kya aap baad mein call kar sakte hain?,Certainly. We will call you back at a more convenient time.,Zaroor. Hum aapko kisi convenient time par dobara call karenge.,I'm busy now|call me in the evening,abhi busy hoon|shaam ko call karein
FAQ_C010,common,How long will this take?,Isme kitna time lagega?,"About a minute. If you would like the full details, our advisor can take you through them.","Lagbhag ek minute. Agar aap poori details chahte hain, hamare advisor aapko samjha sakte hain.",I don't have time|make it quick,mere paas time nahi hai|jaldi bataiye
FAQ_C011,common,Can I speak in another language?,Kya main dusri bhasha mein baat kar sakta hoon?,Yes. Please tell me which language you prefer.,Haan. Kripya bataiye aap kaunsi bhasha pasand karenge.,do you speak Tamil|can we talk in Hindi,Hindi mein baat kar sakte hain
FAQ_C012,common,Will you send me an SMS?,Kya aap SMS bhejenge?,Our advisor can confirm what will be sent to your registered mobile number.,Hamare advisor confirm kar sakte hain ki aapke registered mobile number par kya bheja jayega.,can you message me the details|send it on WhatsApp,details message kar dijiye
FAQ_C013,common,Is there any charge for this call?,Is call ka koi charge hai?,No. There is no charge for this call.,Nahi. Is call ka koi charge nahi hai.,will I be billed for this,iska paisa lagega kya
FAQ_C014,common,I want to speak to a person.,Mujhe kisi vyakti se baat karni hai.,Certainly. I will connect you to our advisor now.,Zaroor. Main aapko abhi hamare advisor se connect karti hoon.,transfer me to an agent|get me a human,agent se baat karao|kisi insaan se baat karni hai
FAQ_C015,common,I already spoke to someone about this.,Main iske baare mein pehle baat kar chuka hoon.,Thank you for telling me. Our advisor can check the status for you.,Batane ke liye dhanyavaad. Hamare advisor aapke liye status check kar sakte hain.,someone already called me|I've heard this before,pehle bhi call aayi thi
FAQ_F001,flexipay,What is this EMI conversion?,Yeh EMI conversion kya hai?,"It lets you convert eligible purchases already made on your card into monthly instalments, instead of paying the full amount in one bill.",Isse aap apne card par ki gayi eligible purchases ko ek hi bill mein poora chukane ke bajay monthly instalments mein convert kar sakte hain.,what is FlexiPay|how does this work|explain the offer,FlexiPay kya hai|yeh kaise kaam karta hai
FAQ_F002,flexipay,Which transactions can be converted?,Kaunse transactions convert ho sakte hain?,Eligible purchases above {min_txn_amt} rupees can be converted. Our advisor can confirm which of your transactions qualify.,{min_txn_amt} rupees se upar ki eligible purchases convert ho sakti hain. Hamare advisor confirm kar sakte hain ki aapke kaunse transactions qualify karte hain.,what purchases are eligible|can I convert any spend,kaunse purchase eligible hain
FAQ_F003,flexipay,What is the interest rate?,Interest rate kya hai?,The rate on this offer is {roi_annual_pct} percent per annum. Goods and services tax applies as per government rules.,Is offer par rate {roi_annual_pct} percent annual hai. GST government rules ke hisaab se lagega.,how much interest|what rate do you charge|what is the ROI,kitna interest lagega|rate kya hai
FAQ_F004,flexipay,Is there a processing fee?,Koi processing fee hai?,"There is a one-time processing fee of {processing_fee} rupees, plus applicable taxes.","Ek baar ka {processing_fee} rupees processing fee hai, aur uspar applicable taxes.",any hidden charges|what are the fees,koi chhupa charge hai kya|fees kitni hai
FAQ_F005,flexipay,What tenures are available?,Kaunsi tenures available hain?,This offer is available over {tenure_options}. Our advisor can help you pick one.,Yeh offer {tenure_options} mein available hai. Hamare advisor aapko chunne mein madad karenge.,how many months|can I choose the duration,kitne mahine ka option hai
FAQ_F006,flexipay,How much will my monthly instalment be?,Meri monthly instalment kitni hogi?,"At {tenure_months} months, the indicative instalment is about {indicative_emi} rupees. Our advisor will confirm the exact figure.",{tenure_months} mahine par indicative instalment lagbhag {indicative_emi} rupees hai. Hamare advisor exact figure confirm karenge.,what is the EMI amount|how much per month,har mahine kitna dena hoga
FAQ_F007,flexipay,Can I close it early?,Kya main jaldi band kar sakta hoon?,"Early closure is possible, and foreclosure charges may apply. Our advisor can give you the exact terms.","Jaldi band karna sambhav hai, aur foreclosure charges lag sakte hain. Hamare advisor aapko exact terms bata sakte hain.",is foreclosure allowed|can I prepay|what if I want to close it,pehle band kar sakte hain kya|prepay ho sakta hai
FAQ_F008,flexipay,Will this reduce my credit limit?,Kya isse meri credit limit kam hogi?,The converted amount is held against your limit until it is repaid. Our advisor can explain how this applies to your account.,Convert kiya gaya amount repay hone tak aapki limit ke against hold rehta hai. Hamare advisor bata sakte hain ki aapke account par yeh kaise lagu hota hai.,does it block my limit|will my available limit drop,available limit kam ho jayegi kya
FAQ_F009,flexipay,Will it show on my statement?,Kya yeh mere statement par dikhega?,Yes. The instalment appears on your monthly statement.,Haan. Instalment aapke monthly statement par dikhta hai.,how will I see it|where does it appear,kahan dikhega
FAQ_F010,flexipay,What if I miss an instalment?,Agar main koi instalment miss kar doon to?,Standard late payment charges under your card agreement would apply. Our advisor can take you through the details.,Aapke card agreement ke standard late payment charges lagenge. Hamare advisor details samjha sakte hain.,what happens if I don't pay|is there a late fee,agar nahi bhara to kya hoga
FAQ_F011,flexipay,Is this a loan?,Kya yeh loan hai?,"It is an instalment facility on purchases already made on your card. It is not a separate personal loan, and no money is disbursed to you.","Yeh aapke card par pehle se ki gayi purchases par ek instalment facility hai. Yeh alag personal loan nahi hai, aur aapko koi paisa disburse nahi hota.",is this a personal loan|am I borrowing money,yeh personal loan hai kya
FAQ_F012,flexipay,Do I need to submit documents?,Kya mujhe documents dene honge?,No fresh documents are required for this offer. Our advisor will confirm the process.,Is offer ke liye naye documents ki zaroorat nahi hai. Hamare advisor process confirm karenge.,what paperwork is needed|do you need my salary slip,kaagaz lagenge kya
FAQ_F013,flexipay,How long does it take to process?,Process hone mein kitna time lagta hai?,Our advisor will confirm the timeline once your request is raised.,Request raise hone ke baad hamare advisor timeline confirm karenge.,when will it be active|how soon,kab tak ho jayega
FAQ_F014,flexipay,Can I convert only part of the amount?,Kya main sirf kuch hissa convert kar sakta hoon?,Our advisor can tell you which amounts are available for conversion on your account.,Hamare advisor bata sakte hain ki aapke account par kaunse amounts conversion ke liye available hain.,do I have to convert everything|can I choose the amount,poora amount convert karna zaroori hai kya
FAQ_F015,flexipay,Can I cancel after agreeing?,Haan kehne ke baad cancel kar sakta hoon?,Our advisor will explain the cancellation terms before anything is confirmed.,Kuch bhi confirm hone se pehle hamare advisor cancellation terms samjha denge.,what if I change my mind|is it reversible,agar main mann badal loon to
FAQ_M001,multicarding,Why do I need a second card?,Mujhe doosre card ki kya zaroorat hai?,Each card carries its own benefits. The {offered_card_name} offers {headline_benefit}.,Har card ke apne benefits hote hain. {offered_card_name} mein {headline_benefit} milta hai.,I already have one|what is the point of another card,mere paas pehle se hai|doosra card kyun
FAQ_M002,multicarding,What is the annual fee?,Annual fee kitni hai?,"The annual fee is {annual_fee} rupees, and it is reversed on {fee_waiver_condition}.","Annual fee {annual_fee} rupees hai, jo {fee_waiver_condition} par reverse ho jaati hai.",how much does it cost per year|what are the charges,saalana kitna lagega
FAQ_M003,multicarding,Is there a joining fee?,Koi joining fee hai?,"There is a joining fee of {joining_fee} rupees, plus applicable taxes.","{joining_fee} rupees ki joining fee hai, aur uspar applicable taxes.",do I pay upfront|what is the one-time cost,shuru mein kitna dena hoga
FAQ_M004,multicarding,Will this affect my credit score?,Kya isse mera credit score prabhavit hoga?,Credit bureaus consider many factors. Our advisor can explain how a new card is reported.,Credit bureaus kai factors dekhte hain. Hamare advisor samjha sakte hain ki naya card kaise report hota hai.,does a new card hurt my CIBIL|will my score drop,naya card lene se CIBIL par asar padega kya
FAQ_M005,multicarding,Do the two cards share a limit?,Kya dono cards ki limit ek hi hogi?,Our advisor can explain how the limit is set for your account.,Hamare advisor samjha sakte hain ki aapke account ke liye limit kaise tay hoti hai.,is the limit separate|do I get a new limit,alag limit milegi kya
FAQ_M006,multicarding,How long until I receive the card?,Card milne mein kitna time lagega?,Our advisor will confirm the timeline once your request is raised.,Request raise hone ke baad hamare advisor timeline confirm karenge.,when will it be delivered|how soon do I get it,kab tak aa jayega
FAQ_M007,multicarding,Can I choose a different card?,Kya main koi aur card chun sakta hoon?,The offer on your account is for the {offered_card_name}. Our advisor can discuss what else may be available to you.,Aapke account par offer {offered_card_name} ka hai. Hamare advisor bata sakte hain ki aur kya available ho sakta hai.,what other cards do you have|I want a different variant,aur kaunse cards hain
FAQ_M008,multicarding,Do I need to submit documents?,Kya documents dene honge?,Our advisor will confirm what is required for your application.,Hamare advisor confirm karenge ki aapki application ke liye kya chahiye.,what paperwork is needed|do you need KYC,kaagaz lagenge kya|KYC chahiye kya
FAQ_M009,multicarding,What are the benefits of this card?,Is card ke kya benefits hain?,The {offered_card_name} offers {headline_benefit}. Our advisor can take you through the full list.,{offered_card_name} mein {headline_benefit} milta hai. Hamare advisor poori list samjha sakte hain.,what do I get|what rewards does it have,kya milega isme|rewards kya hain
FAQ_M010,multicarding,Can I cancel it later?,Kya main baad mein cancel kar sakta hoon?,You can request closure later. Our advisor can explain the process and any applicable terms.,Aap baad mein closure request kar sakte hain. Hamare advisor process aur applicable terms samjha sakte hain.,what if I don't want it after it arrives|is it reversible,baad mein band kar sakte hain kya
FAQ_M011,multicarding,Is approval guaranteed?,Kya approval pakka hai?,The card is issued subject to approval. Our advisor will explain the process.,Card approval ke adheen issue hota hai. Hamare advisor process samjha denge.,will I definitely get it|can my application be rejected,mil hi jayega kya|reject ho sakta hai kya
FAQ_M012,multicarding,Will you send me a link?,Kya aap mujhe koi link bhejenge?,Our advisor will explain the next steps. Please note that I will never ask you for an OTP.,"Hamare advisor aage ke steps samjha denge. Kripya dhyan dein, main aapse kabhi OTP nahi maangungi.",do I have to fill a form online|will I get an OTP,online form bharna hoga kya|OTP aayega kya
